views,likes,comment_count,category_id
748374,57527,15954,22
2418783,97185,12703,24
3191434,146033,8181,23
343168,10172,2146,24
2095731,132235,17518,24
119180,9763,1434,28
2103417,15993,1970,24
817732,23663,3432,28
826059,3543,340,1
256426,12654,2368,25
81377,655,177,17
104578,1576,1279,24
687582,114188,8371,10
544770,7848,3981,25
207532,7473,2120,15
75752,9419,1230,28
295639,8011,1256,23
78044,5398,385,27
97007,11963,2211,28
223871,8421,1214,27
115791,9586,2800,27
224019,3585,208,28
144418,11758,1014,27
145921,1707,673,26
33980,4884,234,23
223077,8676,1392,24
80705,4687,437,28
120727,9033,1346,26
27943,156,83,25
50867,715,246,1
98378,4035,486,2
26000,119,0,24
17158531,787419,125882,10
67661,3781,626,24
141148,1661,236,19
98966,2486,532,22
288922,7515,2111,1
13917,1318,76,10
605932,38397,3412,23
57169,6927,565,10
60506,5389,455,10
34785,308,413,25
945,7,8,17
328330,15186,7484,10
321053,4451,895,22
1456472,33505,2160,26
69844,3417,160,24
956169,2017,1447,17
4569,35,19,17
2045386,45406,8309,24
1842393,99086,11800,24
6473,205,15,25
1044813,15397,1100,17
9548677,190083,11473,10
197062,7250,456,22
1496225,16116,605,24
162597,5734,525,17
9132,21,64,25
7265,89,22,2
291597,8209,1062,24
290801,10237,1016,28
5304,52,68,25
812516,26917,4998,24
2642930,115795,6410,10
105058,493,347,25
537715,8231,970,24
2744430,115426,6541,22
3358068,120876,6408,23
4732,203,33,24
7224515,55681,9479,26
33523622,1634124,85067,10
52591,2233,255,1
75822,2978,243,24
43715,1550,1031,24
303956,18603,1745,10
238643,2429,2325,24
237307,1896,260,28
1282413,37669,1691,10
1497519,15504,1084,24
148226,355,178,23
484185,23296,1858,26
300617,8133,2911,26
92523,2323,134,26
7524,67,56,25
103927,3571,399,26
177707,6271,275,22
1751064,16430,1231,1
46746,439,55,10
746092,34839,2541,10
836830,82320,7998,24
67429,438,23,27
2237404,72593,3501,24
45455,2282,17,15
2063667,98804,11443,26
2736733,58967,7915,1
165698,8599,930,10
836544,40195,976,10
284666,16396,949,15
3371669,202676,20086,23
195685,14338,1070,10
1098897,43875,4702,22
893462,22326,943,10
225286,1731,206,23
264793,3283,0,24
5476737,286268,12254,10
3578502,307435,12248,23
