keyword,videoId,title,views,likes,comments
food,_1uoh5wb7y4,Eating only PRISON food for the whole day!,3113740,157553,1978
food,F-H-CBstv20,How Good is LA Bar Food?,6072737,346920,911
food,zTrAr1pR-Rc,Do White PPL Get Less Spicy Food from Restaurants? #food #foodreview #white,8886273,344132,2060
food,FWV4hhhy_E8,Letting a stranger pick my meal (12/30),1889469,191220,189
food,86NHFK1RAJ0,would you eat this? #asmr #cooking,15785092,423002,970
food,cZlrTuhFOek,Only eating viral food for a full day in NYC! #foodie #nyc #eating #viral #bagels #tacos #nycfood,5930549,389408,1107
food,Rt9sYDj3RW4,Which is the Crunchiest Chicken?🤤🤤 #food #foodreview #chicken #crunchy #asmr,12371884,213127,1373
food,28NjxrBbNFQ,Only eating my favorite fast food for a full day! #foodie #eating #fastfood #tacobell #raisingcanes,8934292,557734,1196
food,alg9ydZDre0,Fast food burrito showdown #recipe #cooking #foodasmr #food,15204898,0,2682
food,SHVAXf7zVA0,I Ate Only FAMILY SIZED Fast Food Meals For a Day,23384262,386959,30831
food,72RM1BzxAqA,What is the BEST way to eat FOOD during CLASS?😁❤️🍜| CHEFKOUDY,54570758,1624925,4928
food,kFdG69WEY64,I love leftovers.🎅🏻❤️ #food,27667191,1389684,3979
food,y1UfXTMrNvw,Enoki mashroom with hot chicken flavor souce #food,80130018,4592413,17151
food,fpDGedpn9IE,Only eating street food in Canada! #foodie #canada #streetfood #eating #hotdog #vancouver,5888241,447271,1240
food,csVY6R69CSM,Is This The Best Burger in the World…?,30844897,1551576,5736
food,rciiD7N8C6M,Build the Ultimate Fast Food Pizza,6081330,178236,813
food,EATsj7__fVw,Everything I ate at the world of food trucks! #foodie #shorts #streetfood #eating #ramen #nutella,12877196,708970,1449
food,S4bLJMsSLTo,I Tried The Best Mexican Food In The World,1515224,42343,1943
food,lD6Du1nUvN0,"$1 vs $1,000,000 Boat Food",11478788,152985,3646
food,OGDnXQRQXiI,Giant Roblox Food ASMR!? 🤤,24774813,218114,7256
food,0_MUHFYm_Sw,Americans ruin Desi food 89 😡,41298763,1072035,4777
food,fTR4HFCQItI,7KG PAKISTANI Food Challenge!,19876998,737484,5287
food,VoaXkzJVtIo,Only eating viral TikTok recipes for a full day! #foodie #shorts #eating #recipe #cooking,32745231,1425614,2757
food,H7eNy52rEsQ,Only eating street food in NYC! #foodie #nycfood #streetfood #eating #chinesefood #indianfood,6033406,293313,514
food,6ZrpNJCcBZY,I Tried Every Fast Food Burrito,27786566,1149056,5251
food,Ki3v6IeL-LY,Full day of spicy food!🔥 #shorts #foodie #eating #spicyfood #samyang #hotchicken #vindaloo #noodles,23786122,1256456,4496
food,cAgsmgXWZr4,I Ate Street Food From Every Country,41580041,470756,21012
food,RNePQW56rDU,I Tried $1 Street Food Around The World,4393722,91139,3028
food,bR6suovYbNs,Pick a Restaurant!? 🥵 (Giant Food),14548014,200030,4637
food,U6VMbmbAD_o,Drafting the Ultimate Fast Food Sandwich,21319859,767072,2660
makeup,RuaYH_N7bSo,ASMR Makeup on Watermelon (No talking),2688,193,22
makeup,9ltWHUGmCos,Satisfying Makeup Repair ASMR💄Restoring Damaged Makeup & Decorating Old Packaging: My Simple Hacks,4005,156,56
makeup,uEreAJFx2vs,일본여자의 화장빨,1301,50,8
makeup,0L40ailHfvI,10 DRUGSTORE MAKEUP DUPES ... save your cash!,123650,7543,248
makeup,0VMxyOHLZ-0,How to look EXACTLY like Daniela Katseye 👀😳| makeup tutorial #daniela #katseye #makeupinspo#makeup,32178,1542,28
makeup,A4LP-HCd-YQ,Why Is Everyone Eating THIS???,562301,26046,3522
makeup,On44AO0Sh6A,MZ세대가 선호하는 얼굴 1위🔥 #makeup #makeuptutorial,24338,467,5
makeup,GKeoxVblaDM,Makeup Your Face,764981,8480,15100
makeup,dym5tL4J2vY,the CUTEST SKINCARE ROUTINE🥰 #beauty #funny #cosmetics #unboxing #skincare #routinevlog,71277457,840523,1757
makeup,1zpPPzvtWTk,"50 Of The BEST SELLERS AT SEPHORA "" BUY OR SKIP?""",170134,8291,828
makeup,tUn4O-u_Apo,Zoey [💚Paper DIY💚] KPOP DEMON HUNTERS Zoey Skincare + Makeup + Nail Blindbag ASMR,369725,2337,210
makeup,ypdT4UahO_c,#grwm with my favourite makeup routine❤️ Full version👆🏼👆🏼👆🏼,28217849,252220,3748
makeup,gyDRYoz9yAw,makeup tutorial #fyp #makeup #viralshorts,3835410,0,1226
makeup,lWMbU5nP-1Q,CUTE ✅ or FAIL? ❌ Bee Vision Filter Makeup Challenge! 🐝👀,38742857,1975610,52264
makeup,raEnFm0sdnc,BASIC MAKEUP TUTORIAL FOR BEGINNERS PART 1,2680891,0,409
makeup,C4EQcnQjDFk,👻🎃🍭Inside out Disgust makeup and dress up for Halloween,10759701,110514,0
makeup,IpPTfer_edQ,bin doch dankbar für jede Hilfe #makeup #viralvideo #beautyinspiration #makeuptutorial #viralshorts,20356,1066,6
makeup,RnrHrqzEgUo,since i’m a ungatekeeper here’s MAKEUP PRODUCTS I LOVE! MISSED U i was on vacay #makeup #makeuphaul,870617,62371,861
makeup,Sk1e7pgQlrQ,ASMR Makeup on Mannequin🎭 (No Talking),322663,1980,62
makeup,KbeyaumzJeY,FULL FACE OF ESSENCE COSMETICS !!!,223093,10944,422
makeup,x1oR73WT4z4,The Power Of A Makeup  ☠️🔥 #makeup #edit #viralvideo,4751519,187805,1013
makeup,HgkNmCWn1j4,Who else loves playing with black eyeshadow✨: #shorts #short #StarkMakeup,32655724,252109,8339
makeup,U0g_PlU70X8,i SWAPPED Makeup Bags With My SiSTERS *GONE WRONG* 👛 💄,771600,10790,1311
makeup,zOZZXou9RHE,Trying crazy vintage makeup hacks! #makeup #vintage #makeuptutorial #1950s #1930s #style,1051422,104712,971
makeup,a575q416GfY,cute makeup tools🛠️ #beauty #beautytips #makeup #haul,169810503,2541877,3130
makeup,foKeHu8Ko10,Back to Work Makeup in 10 Minutes | Elena Rachitskaya,2112099,42791,839
makeup,uu3P6IYpSIo,Pintalabios de Sharpie. #dermreacts  #makeup  #dermatologist #dermangelo,810941,38574,1506
makeup,0sOGToe0Q8U,Full face makeup tutorial   Copy the product link from the description and paste it in Google.,7009429,151030,454
makeup,RDHyE_hBphA,What should I organize next? #makeup,89921981,2752607,24164
makeup,ypcdr9JU-QM,INSANE MAKEUP ROUTINE #dermreacts  #makeup  #dermatologist #dermangelo,3314091,138295,4480
travel,fvtICQlO1H4,5 BEST Costco Travel Deals Right Now! (Spring 2026 Picks),128946,2749,59
travel,LfnBIBzJ0QU,You Only Need 9 Items to Pack for Any Trip (even in carry-on),830855,24297,1003
travel,SOT-MIyjQEc,SICILY: The Most Beautiful and Dangerous Island in the Mediterranean | 4K Travel Documentary,214041,1958,32
travel,K7v55Npm5nw,Impossible Places: World's Most Dangerous Railway Roads on Earth | 4K Travel Documentary,1165316,3030,53
travel,l0ihrSekpsQ,Stay & Cooking inside Kerala Forest | EP - 02 | Gavi Trip - Keralam ( Caravan Family Trip ),205553,7258,730
travel,UA4zK9AdPIA,9 INSANELY Cheap Places to Travel in 2026 ($50 per day),998456,16623,441
travel,I6PMLp0j4-s,Top Couple's Travel Trailers for Travel Access from 2025!!,114416,2035,144
travel,apkIQVO3xjo,I Survived Egypt’s Craziest Street Food for 9 Days!! [Full Documentary],1231282,12203,621
travel,KaICflreJ0s,TRAVEL WITH ME TO EUROPE!! 🌍✈️☀️ #fypシ #summer #travel #vlog #family #holiday #airplane #viral,1435605,73327,1277
travel,U_dt_b-kMME,25 Best Countries To Visit In 2026 | Travel Video,219916,1010,64
travel,mG9s3vbk43I,Inside the LARGEST FAKE MARKET in VIETNAM 🇻🇳,241692,4687,493
travel,x6OF9KARmv4,#recreationalvehicle  #travel  #camping #travel trailer camping#automobile,2181,28,1
travel,0-9Licds8yo,coimbatore to Mumbai Flight Travel#coimbatore #airtravel #travel #aviation #cheapestflightbooking,2305,25,2
travel,2x84ZLB5Jh0,Impossible Places: World's Most Extreme Corners on Earth | 4K Travel Documentary,2456867,7723,136
travel,IuTDuvYr7f0,How to Spend 14 Days in Japan  - A Japan Travel Itinerary,12499827,189708,3620
travel,QqcGdA6kWD8,PATAGONIA: The Bottom of the World | 4K Travel Documentary,1588932,16853,475
travel,LQEzCEMxP7k,Best Places to Visit in the USA by Month (2026 Travel Guide),149067,3148,59
travel,ZYeyS_ZmOs8,Let's go to Thailand🇹🇭✈️ #여행 #travel #태국 #thailand #bangkok,36953,1429,27
travel,SX753-kkNCM,IRAN: A Hidden World Beyond the Headlines | 4K Travel Documentary,459589,2869,132
travel,1IAFhoNPjso,Airport Travel HACKS You NEED to Know,18046577,516649,2376
travel,OONmydfz5ls,AMAZON: The Side Most People Will Never See | Travel Documentary,1841180,13125,555
travel,pZ7WLQbLDn8,Top 10 Places To Visit in 2026 (Year of Travel),509898,6481,394
travel,rBBAuJS1Ux0,IMPOSSIBLE PLACES | The Most Unbelievable Megaprojects in the World | 4K Travel Documentary,1136950,4420,365
travel,KBNHqI4kono,50 Most Beautiful Places To Visit In Europe | 4K Travel Guide,1484235,8767,289
travel,s9GSgGQoSlY,New Travel Hacks from Regular Passengers in 2026,337647,11214,1167
travel,xRbPAVnqtcs,[MV] BOL4(볼빨간사춘기) _ Travel(여행),111452960,627529,26250
travel,8x4VlPXsbic,NORWAY: The World’s Richest Country That Hides Its Wealth | 4K Travel Documentary,216689,2148,133
travel,VphBvqdAlLw,#recreationalvehicle  #travel  #camping #travel trailer camping#automobile,2284,37,0
